strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_4.txt,B,e440,103.98136645962732,1.8319117394454383,0.1,98.23214285714286
pcc9511,dilution_4.txt,B,e440,103.98136645962732,1.8319117394454383,0.1,83.2280701754386
pcc9511,dilution_4.txt,B,e440,103.98136645962732,1.8319117394454383,0.1,139
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,58.25
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,61.142857142857146
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,67.91071428571429
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,65.05357142857143
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,64.80357142857143
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,68.26785714285714
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,58.17857142857143
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,59.19298245614035
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,61.089285714285715
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,61.70175438596491
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,64.5
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,61.70175438596491
pcc9511,dilution_4.txt,B,e470,74.80124223602485,1.7600421719961603,0.1,80.44067796610169
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,64
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,66.875
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,69.51785714285714
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,81.10714285714286
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,72.125
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,68.71428571428571
pcc9511,dilution_4.txt,B,e532,82.44099378881988,1.657727060227702,0.1,62.892857142857146
